Type_Logement, Nombre_pieces, Etage, Surface_Reelle, Annee_Construction, DPE_consommation_reelle
DI,0,00,0,0,0
T3,3,03,70,1856,263
P3,3,00,73,1895,0
P3,3,00,66,1900,0
P1,1,01,37,1915,0
P3,3,00,60,1922,359
T1,1,00,22,1926,207
T3,3,03,51,1931,200
P4,4,00,80,1932,216
T3,3,01,61,1933,201
T4,4,04,66,1934,221
P4,4,00,117,1935,0
T2,2,00,40,1936,0
T2,2,03,52,1937,448
T2,2,02,28,1938,292
P4,4,00,74,1940,142
P3,3,00,67,1945,0
T4,4,00,77,1950,312
T3,3,01,59,1952,0
T3,3,00,0,1953,0
P7,7,00,154,1954,195
T3,3,01,40,1955,256
T3,3,03,50,1956,171
DI,0,0,0,1957,0
T3,3,00,37,1958,0
T2,2,01,39,1959,185
T2,2,03,38,1960,165
P3,3,00,82,1961,238
T4,4,01,59,1962,165
T2,2,01,46,1963,185
T4,4,01,73,1964,235
T3,3,01,62,1965,181
T4,4,03,79,1966,156
T3,3,01,57,1967,253
T4,4,01,66,1968,253
T4,4,01,78,1969,156
T4,4,03,78,1970,156
T6,6,00,118,1971,139
T2,2,03,50,1972,193
T3,3,02,64,1973,297
P6,6,00,127,1974,
P4,4,00,139,1975,
T4,4,01,87,1976,78
P5,5,00,105,1977,318
T3,3,00,66,1978,97
T3,3,06,74,1979,183
T3,3,01,74,1980,183
P4,4,00,107,1981,497
T3,3,00,76,1982,151
P4,4,00,82,1983,123
D5,5,02,120,1984,357
T3,3,03,65,1985,446
T3,3,03,75,1986,446
T3,3,02,75,1987,156
P2,2,00,53,1988,283
T2,2,00,49,1989,207
T3,3,01,64,1990,169
T3,3,01,74,1993,258
P5,5,00,93,1994,185
P4,4,00,79,1995,149
T3,3,01,64,1996,167
T2,2,00,69,2000,254
P3,3,00,62,2001,210
T4,4,00,106,2002,185
P5,5,00,104,2003,206
T3,3,00,62,2004,174
P4,4,00,87,2005,126
P4,4,00,91,2006,145
P4,4,00,90,1,2007,167
T3,3,00,79,2008,141
T4,4,00,84,2009,141
T3,3,04,71,2010,93
T4,4,00,,2011,
